date,dispersion,mean_ratio,range,regime,level_regime
2024-07-30,0.08001124589984654,0.34795784304688876,0.23060497255126972,normal,mid
2024-07-31,0.08082815581030837,0.35335588603058715,0.23369385692024242,normal,high
2024-08-01,0.07963162085333855,0.3463125385316058,0.2332984076886091,normal,mid
2024-08-02,0.07511355380153334,0.3286708535658708,0.22739241211244604,normal,mid
2024-08-03,0.07204038125513693,0.31786848450588623,0.21833222271656558,normal,mid
2024-08-04,0.07036184220513149,0.30693276898709726,0.2118194029776927,normal,mid
2024-08-05,0.06534869166511002,0.2820729099812755,0.21059136163352196,converged,mid
2024-08-06,0.06323819255153582,0.26216432883359875,0.21949510927899146,converged,mid
2024-08-07,0.061232724564885,0.23994016070530175,0.22044702754406015,converged,mid
2024-08-08,0.05880678264555869,0.22225974161030326,0.21209940393085652,converged,mid
2024-08-09,0.05873581959037341,0.20513051799843174,0.21312188405399507,converged,mid
2024-08-10,0.0619415521631904,0.18539106084113657,0.22445271963384708,converged,low
2024-08-11,0.06279371467017582,0.17329806376557685,0.22504530018014204,converged,low
2024-08-12,0.060105275268657415,0.16950721821644207,0.20959473639298334,converged,low
2024-08-13,0.05959595100331943,0.16849769594264336,0.2073736525806651,converged,low
2024-08-14,0.05862027236108401,0.16658688982339764,0.19900122526689362,converged,low
2024-08-15,0.05792780153528341,0.17954293295498502,0.196753636582504,converged,low
2024-08-16,0.055421654930210854,0.18991143557637893,0.18668103560579344,converged,low
2024-08-17,0.053872459824870364,0.20273576954201483,0.18456026400948367,converged,mid
2024-08-18,0.053724896586442014,0.21139257363356811,0.1828412638600077,converged,mid
2024-08-19,0.05357473956561147,0.22223598889119758,0.19008909820638006,converged,mid
2024-08-20,0.05351552123442706,0.2291054003410914,0.19803143501571197,converged,mid
2024-08-21,0.05411624316640924,0.23761569082685538,0.20591192890605806,converged,mid
2024-08-22,0.056487999330060136,0.2500775269379757,0.21287349310832676,converged,mid
2024-08-23,0.05674602137244554,0.2650849932032617,0.2096508840148762,converged,mid
2024-08-24,0.05844592743610619,0.2808626685152887,0.2140538233728774,converged,mid
2024-08-25,0.06070726309394608,0.29155183836455556,0.22750218128151972,converged,mid
2024-08-26,0.056529919280208715,0.26250728769395193,0.15633175404264088,converged,mid
2024-08-27,0.06081716160547049,0.3005930472282041,0.2395919467020091,converged,mid
2024-08-28,0.06254206409288093,0.30482148163320827,0.2553142256420795,converged,mid
2024-08-29,0.06391799790560553,0.3070723126654069,0.2690612365676619,converged,mid
2024-08-30,0.06439037260969277,0.3173226142362815,0.27318563375215,converged,mid
2024-08-31,0.06729256409505975,0.329106479756848,0.2822925548978602,converged,mid
2024-09-01,0.06179674245508147,0.3115845702492657,0.20789819283912508,converged,mid
2024-09-02,0.07169491059091958,0.3420680510217211,0.28398134198149017,normal,mid
2024-09-03,0.07785811798023126,0.34095886644244383,0.30072036213155995,normal,mid
2024-09-04,0.08309436634796731,0.33875705943735296,0.31438728881218525,normal,mid
2024-09-05,0.0894479187606439,0.33479990696423195,0.32589774477248645,normal,mid
2024-09-06,0.0923903202851841,0.32209975476338637,0.33427609453332463,normal,mid
2024-09-07,0.0954450701300187,0.31210392374235457,0.34016970037131317,normal,mid
2024-09-08,0.0987440247694671,0.3021442856579857,0.34850375431020586,normal,mid
2024-09-09,0.03287068219676689,0.24483970659016652,0.07808199295084628,normal,mid
2024-09-10,0.10418524436114929,0.285950305545267,0.3698740506805023,normal,mid
2024-09-11,0.10495898952477564,0.2716497276144417,0.3798705058382477,normal,mid
2024-09-12,0.10664530245864404,0.2615021204514954,0.3963600915213818,normal,mid
2024-09-13,0.10934030925552146,0.2624067026365368,0.416086198747489,normal,mid
2024-09-14,0.11066408399775073,0.26755502146359295,0.42768293534422563,normal,mid
2024-09-15,0.11038635768166308,0.272980091950301,0.434034916696207,normal,mid
2024-09-16,0.0687611190986282,0.2477800429222298,0.21380469681208472,normal,mid
2024-09-17,0.10473723958476143,0.29420230654199764,0.4199054590177545,normal,mid
2024-09-18,0.10341207317935178,0.3089114715759172,0.41620162004902445,normal,mid
2024-09-19,0.10092014548281006,0.32825915078424295,0.41083953419694264,normal,mid
2024-09-20,0.09991477179631116,0.3441465672590216,0.4023291198800767,normal,mid
2024-09-21,0.0990149923641141,0.3576072100108437,0.39038273293368975,normal,high
2024-09-22,0.09998133329634439,0.3684476549875066,0.3810254235763803,normal,high
2024-09-23,0.10046615874446475,0.37457477473877904,0.37132488218229054,normal,high
2024-09-24,0.09681017426967636,0.3740502830107241,0.3522714004527525,normal,high
2024-09-25,0.09323088419583062,0.3705447663437482,0.3294529066353352,normal,high
2024-09-26,0.030945926415249677,0.3351373596411648,0.07219069518670085,normal,mid
2024-09-27,0.09021459532075496,0.3685400694648633,0.31261190196379895,normal,high
2024-09-28,0.08726408401510667,0.36682990035059093,0.29867174782222966,normal,high
2024-09-29,0.07692150846338489,0.35106163691881104,0.28567908784759677,normal,high
2024-10-01,0.018621831876826724,0.3674015774992056,0.04412254427337958,normal,high
2024-10-02,0.02201985246773458,0.37857938350795683,0.04403970493546916,normal,high
2024-10-03,0.08234207906062735,0.3562933192293436,0.2996474200373386,normal,high
2024-10-04,0.07877106738234765,0.35005582595916634,0.28731362809828337,normal,high
2024-10-05,0.014856094455688359,0.35824598729003193,0.032282925578137944,normal,high
2024-10-06,0.0583553274295165,0.3163683479277462,0.14106962130125755,normal,mid
2024-10-07,0.07064544151498699,0.3327014921550768,0.24989759564759567,normal,mid
2024-10-08,0.06451957663127934,0.3184329614014065,0.22731820491031013,normal,mid
2024-10-09,0.05992482609588874,0.3059688540738498,0.1986907271249377,normal,mid
2024-10-10,0.057574153472359564,0.2918009034166378,0.193978828328003,normal,mid
2024-10-11,0.060938982947052404,0.2875448422891514,0.20667562006263807,normal,mid
2024-10-14,0.06621161231488647,0.28376666790667815,0.21743953447112535,normal,mid
2024-10-15,0.07101473775035917,0.2823193297828919,0.22326757902112915,normal,mid
2024-10-16,0.07478052312870569,0.2863521024574455,0.22573146065583224,normal,mid
2024-10-17,0.07746914831987348,0.29051410021388285,0.24062431106587448,normal,mid
2024-10-18,0.07708304423592317,0.2925634174505713,0.24959885252037586,normal,mid
2024-10-21,0.07712501415954408,0.29653172815856355,0.2594706993577679,normal,mid
2024-10-22,0.07714752651419242,0.30029860621634463,0.2706735710905935,normal,mid
2024-10-23,0.07687698060540775,0.30017258527411356,0.28186256276608695,normal,mid
